c:\john\code\logwiz\logwizard\ui\Dummy.cs(44): 11:35:38,307 9          INFO  - Started LogWizard v1.2.24.0
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,843 9          DEBUG - [md5] computed md5 for C:\john\code\buff\314\TNLogs-LUKE-lush-635771821407294206\TableNinja2.log.1 -> Name-TableNinja2.log.1
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,844 9          DEBUG - [md5] computed md5 for C:\john\code\buff\314\TNLogs-LUKE-lush-635771821407294206\TableNinja2.log.1 -> Fast-fa8025c3f84045f13b5daac14599b0ac-7571757
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,845 9          DEBUG - [md5] computed md5 for C:\john\code\buff\314\TNLogs-LUKE-lush-635771821407294206\TableNinja2.log -> Name-TableNinja2.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,846 9          DEBUG - [md5] computed md5 for C:\john\code\buff\314\TNLogs-LUKE-lush-635771821407294206\TableNinja2.log -> Fast-17001c29e6b98f9b93b08d4af85c767e-333932
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,847 9          DEBUG - [md5] computed md5 for C:\john\code\buff\314\TNLogs-HP-PC-Mark-635768330018433013 (1)\TableNinja2.log -> Name-TableNinja2.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,848 9          DEBUG - [md5] computed md5 for C:\john\code\buff\314\TNLogs-HP-PC-Mark-635768330018433013 (1)\TableNinja2.log -> Fast-90a864352eaec19ea3962e95d7f9b3af-181535
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,849 9          DEBUG - [md5] computed md5 for C:\john\code\buff\314\TNLogs-HP-PC-Mark-635768330018433013 (1)\TableNinja2.log.1 -> Name-TableNinja2.log.1
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,850 9          DEBUG - [md5] computed md5 for C:\john\code\buff\314\TNLogs-HP-PC-Mark-635768330018433013 (1)\TableNinja2.log.1 -> Fast-405797741776bb0bbf02ffba16a81f78-1450557
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,851 9          DEBUG - [md5] computed md5 for C:\john\code\buff\316\TNLogs-RXPN-PC-rXpN-635760351860129488 (1)\TableNinja2.log -> Name-TableNinja2.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,852 9          DEBUG - [md5] computed md5 for C:\john\code\buff\316\TNLogs-RXPN-PC-rXpN-635760351860129488 (1)\TableNinja2.log -> Fast-e5458d248b72cf43bf81e1b40d778635-47482
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,853 9          DEBUG - [md5] computed md5 for C:\john\code\buff\316\TNLogs-RXPN-PC-rXpN-635760351860129488 (1)\TableNinja2.log.3 -> Name-TableNinja2.log.3
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,854 9          DEBUG - [md5] computed md5 for C:\john\code\buff\316\TNLogs-RXPN-PC-rXpN-635760351860129488 (1)\TableNinja2.log.3 -> Fast-af185084fbf7b9678698fd27efdcdc5c-7698598
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,855 9          DEBUG - [md5] computed md5 for C:\john\code\buff\316\TNLogs-RXPN-PC-rXpN-635760351860129488 (1)\TableNinja2.log.2 -> Name-TableNinja2.log.2
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,856 9          DEBUG - [md5] computed md5 for C:\john\code\buff\316\TNLogs-RXPN-PC-rXpN-635760351860129488 (1)\TableNinja2.log.2 -> Fast-58744401fdf7df28d0f97d60b9e400bc-862503
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,857 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lw-tests\huge1.txt -> Name-huge1.txt
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,859 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lw-tests\huge1.txt -> Fast-325327d274d3553722c1dd88365212bb-90598863
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,860 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lw-tests\huge.log -> Name-huge.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,861 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lw-tests\huge.log -> Fast-d49e3ab59b2dc2043a49c5db041fef2c-278852757
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,862 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lw-tests\small.log -> Name-small.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,863 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lw-tests\small.log -> Fast-b66195c3f8590f161b5ef3cf2e23ac67-37430
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,864 9          DEBUG - [md5] computed md5 for C:\john\code\buff\magnetic\TableNinja2.log -> Name-TableNinja2.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,865 9          DEBUG - [md5] computed md5 for C:\john\code\buff\magnetic\TableNinja2.log -> Fast-1b8e4e10777ebc4ce31bf73cc1b134aa-333318
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,866 9          DEBUG - [md5] computed md5 for C:\john\code\buff\magnetic\TableNinja2.log.1 -> Name-TableNinja2.log.1
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,867 9          DEBUG - [md5] computed md5 for C:\john\code\buff\magnetic\TableNinja2.log.1 -> Fast-5a96b606f72fdaad26d6a007fa232d32-148013
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,868 9          DEBUG - [md5] computed md5 for C:\Users\meeee\AppData\Roaming\TableNinja.v2\tnscrapefindpot.log -> Name-tnscrapefindpot.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,869 9          DEBUG - [md5] computed md5 for C:\Users\meeee\AppData\Roaming\TableNinja.v2\tnscrapefindpot.log -> Fast-78e444df68be9c6b74b89aa90dc0b6b5-827451
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,870 9          DEBUG - [md5] computed md5 for C:\Users\meeee\AppData\Roaming\TableNinja.v2\TableNinja2.log -> Name-TableNinja2.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,871 9          DEBUG - [md5] computed md5 for C:\Users\meeee\AppData\Roaming\TableNinja.v2\TableNinja2.log -> Fast-e27b839187eeeba7df6b42668574bb0b-16296
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,872 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lw-tests\medium.log -> Name-medium.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,873 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lw-tests\medium.log -> Fast-68f4bd175764993e7982e69985a2f5fa-9889859
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,874 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lw-tests\m2.log -> Name-m2.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,875 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lw-tests\m2.log -> Fast-c1c03cb1327a2cc0ddbf723144a1c81f-19186469
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,876 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lw-tests\small4.log -> Name-small4.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,877 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lw-tests\small4.log -> Fast-f7e9d8b7173d81d55ea2cef272e1d392-36870
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,878 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lw-tests\small.log -> Name-small.log
